Date,Close,Volume,Open,High,Low
04/11/2023,$210.03,1727300,$212.16,$212.52,$208.82
04/12/2023,$207.89,1581313,$212.00,$213.6679,$207.69
04/13/2023,$211.26,1960344,$204.48,$212.98,$204.1281
04/14/2023,$208.40,1207895,$211.32,$211.83,$205.48
04/17/2023,$218.89,2941065,$208.20,$221.88,$208.01
04/18/2023,$219.48,1601872,$215.87,$220.2315,$215.32
04/19/2023,$218.19,1539493,$217.65,$220.3299,$215.60
04/20/2023,$215.53,1384244,$213.34,$218.01,$212.33
04/21/2023,$216.89,1348398,$214.53,$218.81,$213.21
04/24/2023,$209.90,4036164,$209.51,$210.50,$201.2311
04/25/2023,$210.53,2064291,$207.50,$210.67,$204.71
04/26/2023,$199.51,3261038,$205.01,$205.29,$197.30
04/27/2023,$200.83,2727991,$200.59,$203.6313,$198.63
04/28/2023,$182.58,10340920,$184.68,$184.97,$170.5501
05/01/2023,$180.85,3948466,$182.58,$188.245,$178.76
05/02/2023,$176.40,2753058,$180.44,$182.02,$174.52
05/03/2023,$174.33,1517501,$176.44,$178.07,$173.91
05/04/2023,$171.59,1516328,$175.34,$176.97,$170.915
05/05/2023,$178.60,1652434,$173.01,$178.755,$172.25
05/08/2023,$177.46,1099457,$179.70,$180.80,$176.44
05/09/2023,$178.00,1208973,$176.61,$178.43,$174.85
05/10/2023,$180.74,927063,$180.39,$181.66,$177.27
05/11/2023,$183.19,1122345,$179.78,$183.49,$178.79
05/12/2023,$231.69,23931180,$203.80,$232.00,$203.40
05/15/2023,$221.59,7313176,$228.08,$229.66,$221.26
05/16/2023,$212.80,3482330,$220.00,$221.49,$212.25
05/17/2023,$209.76,3136200,$214.10,$214.14,$207.3227
05/18/2023,$206.28,2166988,$208.32,$208.93,$203.45
05/19/2023,$203.53,2043399,$206.01,$208.26,$200.66
05/22/2023,$201.69,2381319,$205.52,$207.5425,$200.10
05/23/2023,$200.89,2216291,$199.24,$202.8699,$197.5301
05/24/2023,$198.55,1724850,$199.70,$204.74,$196.95
05/25/2023,$200.94,1488800,$199.65,$202.12,$196.48
05/26/2023,$201.77,1689291,$201.04,$203.87,$198.53
05/30/2023,$202.40,1908651,$206.24,$210.38,$199.72
05/31/2023,$202.96,2623953,$201.68,$203.255,$198.79
06/01/2023,$208.74,1509463,$204.62,$211.05,$201.86
06/02/2023,$206.74,1477510,$211.76,$212.35,$204.13
06/05/2023,$203.67,1320223,$207.09,$208.97,$200.39
06/06/2023,$196.82,1805152,$199.97,$203.15,$196.23
06/07/2023,$191.76,2308393,$196.24,$198.65,$189.51
06/08/2023,$192.33,1154857,$190.49,$193.19,$188.42
06/09/2023,$192.00,1272135,$193.34,$196.053,$191.09
06/12/2023,$196.24,1427805,$191.33,$197.90,$189.69
06/13/2023,$195.99,1275661,$199.18,$202.22,$195.08
06/14/2023,$193.03,1523564,$195.70,$196.24,$189.18
06/15/2023,$192.88,1552448,$191.41,$194.68,$190.90
06/16/2023,$188.99,3106915,$193.94,$195.18,$187.37
06/20/2023,$186.10,2078228,$189.29,$190.30,$184.35
06/21/2023,$184.58,1680176,$186.10,$187.17,$183.31
06/22/2023,$187.08,1443854,$183.66,$188.47,$181.00
06/23/2023,$184.52,2545941,$183.37,$188.7299,$182.87
06/26/2023,$178.55,1723042,$183.00,$187.17,$176.9625
06/27/2023,$182.73,1606166,$181.41,$185.3129,$180.97
06/28/2023,$184.22,1283502,$180.29,$187.22,$180.28
06/29/2023,$184.01,897889,$185.71,$186.77,$182.40
06/30/2023,$190.09,1820077,$186.10,$190.80,$183.3501
07/03/2023,$191.39,1090754,$191.11,$195.6508,$189.78
07/05/2023,$186.95,1267458,$192.63,$193.75,$185.5184
07/06/2023,$183.14,1191499,$184.08,$187.09,$181.64
07/07/2023,$189.14,2021589,$190.91,$194.42,$186.5437
07/10/2023,$190.82,1462483,$188.00,$193.28,$182.7707
